project_type,scope_description,low,high,is_real_project
Senior living resident-to-caregiver alert app,"Lightweight iOS/Android communication app for residents of a caregiving facility to raise a flag for a nurse or caregiver to come to their room. Piggybacks on the client's existing backend infrastructure but uses our own backend code built from scratch. Features: push notifications, account creation and login, basic community selection screen, splash screen, welcome screen, forgot password flow, server health/info. Relatively lightweight overall.",60000,60000,yes
Service-industry staffing marketplace app,"Two-sided marketplace mobile app (iOS/Android) for the service industry. Hourly workers pick up extra shifts during busy seasons; managers/employers bulk up staff. Workers submit a resume, answer questions, and get matched with local employers. Features: Mapbox integration, file management and uploads, account creation/login/forgot password, accept/reject applicant proposals, ratings and reviews of employers, chat system, admin page, and a paid subscription for monetization.",75000,75000,yes
LLM-powered kids vocabulary/dictionary app,"Large language model-powered vocabulary and dictionary app for kids with different learning needs across three selectable age ranges (elementary, middle, high school), changeable in onboarding or settings. Generates level-appropriate definitions for a submitted word and pulls or AI-generates an image to visualize it. Features: subscription tier, text-to-speech, definition generation, image generation pipeline, account creation/login/forgot password, and an admin UI to review, flag, and remove inappropriate content.",55000,55000,yes
Newborn/infant recipe and meal-planning app,"Recipe and meal-planning app (iOS/Android) for parents of newborns and infants, with subscription monetization. Features: food database, recipes with custom create/edit, meal plans (weekly, shopping-list, custom first-month), a course curriculum, recipe tag management, and a full content management system for the admin. App side includes splash screen, intros, navigation/routing, color schemes, courses, checklists, recipes, meal plans, and profile/settings pages.",85000,85000,yes
LLM + RAG construction materials estimator,"Large language model with a RAG system that produces construction materials quotes and job estimates for contractors across different trades. Contractors upload a PDF or schematics for a job; the system reads it and returns the materials needed and their costs, using trade-specific 'cartridges.' Ambitious, multi-cartridge build. Minimum-lane tier with a single cartridge at the low end; full build with all cartridges at the high end.",82000,161000,yes
Maritime digital credentials/document binder app,"Digital binder / virtual passport for mariners in the maritime industry, replacing a heavy physical binder of certifications, clearances, and legal paperwork needed to operate out of different ports. iOS/Android with strong offline functionality for inconsistent shipboard internet. Features: subscription, account creation and login, a robust system for creating/flagging/tracking paperwork as PDFs, and in-app photo scanning to create PDFs.",102000,102000,yes
LLM + RAG diabetic nutrition assistant app,"Large language model assistant (RAG-based, not a thin wrapper) that gives personalized nutrition advice to diabetic users. Onboards on user preferences, ethnicity, preferred cuisine, nature of their diabetes diagnosis, and goals set with their doctor. Advises what to shop for at grocery stores and what to order at restaurants. Users can send photos (including restaurant menus) and get feedback on what to eat and avoid. Features: subscription, account creation/sign-in/forgot password.",90000,90000,yes
LLM-powered diet and menu Swiss-army-knife app,"Comprehensive LLM-powered dieting app (Omega Menu). Take a photo of a menu item and get pairing and drink suggestions, nutrition details, and diet-match feedback. Features: user authentication, file upload/storage, analytics stack (Mixpanel, Langfuse, Sentry), mobile measurement partner, sign-up/sign-in, in-app payments, home page with nav bars, menu/photo scanning screens, menu items, drink pairings and suggestions. Heavy AI pipeline work: photo classifiers, photo-to-food-details extraction, nutrition extraction, and diet-preference matching scores. Ambitious, multi-pipeline build.",165000,165000,yes
Internal operations / reporting web app (small),"Internal web app for a Midwest company that repairs pumps, automating work previously done through Excel sheets and manual paperwork. Combination of report tracking, report generation, and auditing, for a small handful of internal users. Genuinely lightweight; small user base.",45000,45000,yes
E-commerce / storefront app (generic category average),"Generic category reference for an e-commerce or storefront app: selling physical goods with cart, checkout, payment processing, inventory, and order management. Not a specific shipped project; a typical range for this kind of build.",60000,100000,no
Social / community app (generic category average),"Generic category reference for a social or community app: feeds, profiles, following, posting, comments, direct messages. Not a specific shipped project; a typical range for this kind of build.",40000,70000,no
Booking / scheduling / on-demand app (generic category average),"Generic category reference for a booking, scheduling, or on-demand app: appointments, availability, calendars, reminders, two-sided provider-and-client scheduling. Not a specific shipped project; a typical range for this kind of build.",30000,60000,no
